,CO2 per cápita (toneladas métricas),intervalos,frecuencias
291,29.798843293,"(19.969, 39.937]",216.0
292,28.794559126,"(19.969, 39.937]",216.0
293,31.007790915,"(19.969, 39.937]",216.0
294,32.672832857,"(19.969, 39.937]",216.0
295,30.057581678,"(19.969, 39.937]",216.0
296,16.638556712,"(-0.00042, 19.969]",8744.0
297,16.047240311,"(-0.00042, 19.969]",8744.0
298,29.810630741,"(19.969, 39.937]",216.0
299,27.17395364,"(19.969, 39.937]",216.0
300,36.904101074,"(19.969, 39.937]",216.0
301,31.516099028,"(19.969, 39.937]",216.0
302,24.956551446,"(19.969, 39.937]",216.0
303,29.4670889,"(19.969, 39.937]",216.0
304,28.481436992,"(19.969, 39.937]",216.0
305,25.914587227,"(19.969, 39.937]",216.0
306,23.954519164,"(19.969, 39.937]",216.0
307,23.195066971,"(19.969, 39.937]",216.0
308,23.033600468,"(19.969, 39.937]",216.0
309,21.102295617,"(19.969, 39.937]",216.0
310,20.120957283,"(19.969, 39.937]",216.0
311,20.43383762,"(19.969, 39.937]",216.0
312,2.367473032,"(-0.00042, 19.969]",8744.0
313,2.442615665,"(-0.00042, 19.969]",8744.0
314,2.522392105,"(-0.00042, 19.969]",8744.0
315,2.316355797,"(-0.00042, 19.969]",8744.0
316,2.53837965,"(-0.00042, 19.969]",8744.0
317,2.641714463,"(-0.00042, 19.969]",8744.0
318,2.792653923,"(-0.00042, 19.969]",8744.0
319,2.858162546,"(-0.00042, 19.969]",8744.0
320,2.969855218,"(-0.00042, 19.969]",8744.0
321,3.275850301,"(-0.00042, 19.969]",8744.0
322,3.451159222,"(-0.00042, 19.969]",8744.0
323,3.650078169,"(-0.00042, 19.969]",8744.0
324,3.637858366,"(-0.00042, 19.969]",8744.0
325,3.730791118,"(-0.00042, 19.969]",8744.0
326,3.726699112,"(-0.00042, 19.969]",8744.0
327,3.641822498,"(-0.00042, 19.969]",8744.0
328,3.768773931,"(-0.00042, 19.969]",8744.0
329,3.749871115,"(-0.00042, 19.969]",8744.0
330,3.762750231,"(-0.00042, 19.969]",8744.0
331,3.998733697,"(-0.00042, 19.969]",8744.0
332,3.86885293,"(-0.00042, 19.969]",8744.0
333,3.574967612,"(-0.00042, 19.969]",8744.0
334,3.567086543,"(-0.00042, 19.969]",8744.0
335,3.572041973,"(-0.00042, 19.969]",8744.0
336,3.560142178,"(-0.00042, 19.969]",8744.0
337,3.310327288,"(-0.00042, 19.969]",8744.0
338,3.377245218,"(-0.00042, 19.969]",8744.0
339,3.669168725,"(-0.00042, 19.969]",8744.0
340,3.820445808,"(-0.00042, 19.969]",8744.0
341,3.629202129,"(-0.00042, 19.969]",8744.0
342,3.440710803,"(-0.00042, 19.969]",8744.0
343,3.525383685,"(-0.00042, 19.969]",8744.0
344,3.608582241,"(-0.00042, 19.969]",8744.0
345,3.477160476,"(-0.00042, 19.969]",8744.0
346,3.569365678,"(-0.00042, 19.969]",8744.0
347,3.501874849,"(-0.00042, 19.969]",8744.0
348,3.648190358,"(-0.00042, 19.969]",8744.0
349,3.758387022,"(-0.00042, 19.969]",8744.0
350,3.79878183,"(-0.00042, 19.969]",8744.0
351,3.969875863,"(-0.00042, 19.969]",8744.0
352,3.806975725,"(-0.00042, 19.969]",8744.0
353,3.539532688,"(-0.00042, 19.969]",8744.0
354,3.253312671,"(-0.00042, 19.969]",8744.0
355,3.47503504,"(-0.00042, 19.969]",8744.0
356,4.032407013,"(-0.00042, 19.969]",8744.0
357,4.111634824,"(-0.00042, 19.969]",8744.0
358,4.404525042,"(-0.00042, 19.969]",8744.0
359,4.496833655,"(-0.00042, 19.969]",8744.0
360,4.744178401,"(-0.00042, 19.969]",8744.0
361,4.427960113,"(-0.00042, 19.969]",8744.0
362,4.342272052,"(-0.00042, 19.969]",8744.0
363,4.562048512,"(-0.00042, 19.969]",8744.0
396,1.174674163,"(-0.00042, 19.969]",8744.0
397,0.859706565,"(-0.00042, 19.969]",8744.0
398,0.901718662,"(-0.00042, 19.969]",8744.0
399,1.083089242,"(-0.00042, 19.969]",8744.0
400,0.821584566,"(-0.00042, 19.969]",8744.0
401,1.044825239,"(-0.00042, 19.969]",8744.0
402,1.094342744,"(-0.00042, 19.969]",8744.0
403,0.988511937,"(-0.00042, 19.969]",8744.0
404,1.126529454,"(-0.00042, 19.969]",8744.0
405,1.15760795,"(-0.00042, 19.969]",8744.0
406,0.998805808,"(-0.00042, 19.969]",8744.0
407,1.1291735,"(-0.00042, 19.969]",8744.0
408,1.20456698,"(-0.00042, 19.969]",8744.0
409,1.443730955,"(-0.00042, 19.969]",8744.0
410,1.459636908,"(-0.00042, 19.969]",8744.0
